Item Name,Usage,AliExpress Link
IRLZ44N MOSFETs (x4),Used in the engine control module,https://www.aliexpress.us/item/3256806898404842.html
Slotted Optical Sensors (x4),Used for crankshaft position sensing,https://www.aliexpress.us/item/2255800115661733.html
Double U-Joint (5mm Inner Diameter),Used on the crankshaft for hooking up an output,https://www.aliexpress.us/item/2255800091635782.html
Aluminum Heat Sinks (x4),One used on each MOSFET,https://www.aliexpress.us/item/3256803892794950.html
"Ball Bearings (5mm ID, 11mm OD, 5mm Thickness) (x9)",Used in the crankshaft as rod bearings and main bearings,https://www.aliexpress.us/item/3256806122713276.html
Flanges (x2),"One on either end of the crankshaft; one for attaching the timing disc, the other as part of the flywheel",https://www.aliexpress.us/item/3256804478174064.html
2mm Diameter Rod,Cut into pieces to use as wrist pins,https://www.aliexpress.us/item/3256806106856975.html
M3 Screws,Used wherever there is a screw hole on the engine,https://www.aliexpress.us/item/3256805281516884.html
12V Solenoids (x4),Used in the engine,https://www.aliexpress.us/item/2251832545403210.html
Buck Converter,Steps down 11.1V to 5V for the optical sensors and SSD cooler,https://www.aliexpress.us/item/3256804718557368.html
6-Pin JST XH2.54 Connectors,Used once on the engine control module,https://www.aliexpress.us/item/3256805407027838.html
JST XH2.54 Connectors and Plugs Assortment,2 pairs used on the engine control module,https://www.aliexpress.us/item/2251832823106807.html
10k Resistors (x4),Used on the engine control module as pull-down resistors,
1N4001 Diodes (x8),Used on the engine control module,
M.2 SSD Cooler,Used as a cooler for the solenoids,https://www.aliexpress.us/item/2255800957428638.html
1/4 Ounce Weights (x4),Used to add weight to the flywheel flange,https://www.aliexpress.us/item/3256804873407665.html
